Candidatura_id;Nome_candidato;Email_candidato;Status_candidatura;Origem_candidatura;FK_vaga_id
1;Tatiane Pereira Oliveira;candidato0001@emailteste.com;Entrevista;LinkedIn;11
2;Victor Souza Carvalho;candidato0002@emailteste.com;Triagem;LinkedIn;324
3;Olivia Santos Rodrigues;candidato0003@emailteste.com;Triagem;Indicacao;934
4;Eduarda Ribeiro Barbosa;candidato0004@emailteste.com;Aprovado;Site;716
5;Tatiane Ribeiro Costa;candidato0005@emailteste.com;Entrevista;Indicacao;239
6;Victor Nascimento Oliveira;candidato0006@emailteste.com;Triagem;LinkedIn;334
7;Bruno Souza Gomes;candidato0007@emailteste.com;Reprovado;Site;266
8;Joao Barbosa Pereira;candidato0008@emailteste.com;Reprovado;LinkedIn;328
9;Natalia Costa Nascimento;candidato0009@emailteste.com;Aprovado;Indicacao;763
10;Henrique Rodrigues Nascimento;candidato0010@emailteste.com;Triagem;Site;930
11;Otavio Lima Souza;candidato0011@emailteste.com;Entrevista;Gupy;607
12;Elias Vieira Barbosa;candidato0012@emailteste.com;Triagem;Indicacao;371
13;Renata Rodrigues Ribeiro;candidato0013@emailteste.com;Triagem;Site;165
14;Olivia Ribeiro Silva;candidato0014@emailteste.com;Entrevista;Indicacao;806
15;Tatiane Carvalho Araújo;candidato0015@emailteste.com;Aprovado;Site;792
16;Marcelo Melo Rodrigues;candidato0016@emailteste.com;Triagem;Indicacao;67
17;Larissa Souza Silva;candidato0017@emailteste.com;Reprovado;Gupy;63
18;Patricia Melo Souza;candidato0018@emailteste.com;Aprovado;Site;825
19;Renata Barbosa Nascimento;candidato0019@emailteste.com;Entrevista;Site;681
20;Diego Almeida Souza;candidato0020@emailteste.com;Reprovado;Indicacao;315
21;Olivia Pereira Silva;candidato0021@emailteste.com;Entrevista;Site;304
22;Eduarda Martins Pereira;candidato0022@emailteste.com;Aprovado;Site;688
23;Lucas Ribeiro Santos;candidato0023@emailteste.com;Entrevista;Gupy;341
24;Renata Ribeiro Pereira;candidato0024@emailteste.com;Reprovado;Gupy;915
25;Larissa Ferreira Nascimento;candidato0025@emailteste.com;Aprovado;LinkedIn;460
26;Helena Carvalho Gomes;candidato0026@emailteste.com;Entrevista;LinkedIn;457
27;Fernanda Almeida Rodrigues;candidato0027@emailteste.com;Reprovado;LinkedIn;881
28;Nicolas Lima Almeida;candidato0028@emailteste.com;Reprovado;Site;428
29;Isabela Araújo Teixeira;candidato0029@emailteste.com;Entrevista;Gupy;915
30;Rafael Carvalho Pereira;candidato0030@emailteste.com;Reprovado;LinkedIn;417
31;Bruno Gomes Pereira;candidato0031@emailteste.com;Reprovado;Gupy;181
32;Diego Lima Araújo;candidato0032@emailteste.com;Entrevista;Indicacao;7
33;Daniela Silva Pereira;candidato0033@emailteste.com;Entrevista;Site;205
34;Vanessa Carvalho Oliveira;candidato0034@emailteste.com;Aprovado;Site;440
